vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
186,11053,20442,10082,6171,10,0.8513273879062655,2000,0.1486726120937345,0.08,0.003679852805887764
187,11847,27013,10165,10181,10,0.7274900790534606,2000,0.27250992094653936,0.0,0.0
188,9616,14141,9114,11233,11,0.8258120586742072,2000,0.17418794132579285,0.0,0.0
189,10057,16851,7094,9942,11,0.8804833677581743,2000,0.11951663224182574,0.55,0.02529898804047838
190,9959,14816,7294,14635,10,0.7727591275846619,2000,0.22724087241533808,0.0,0.0
191,8827,20084,10515,13474,9,0.8516602254403072,2000,0.14833977455969283,0.04,0.001839926402943882
192,8341,26144,10071,5483,10,0.8445005221668359,2000,0.1554994778331641,0.03,0.0013799448022079116
193,11809,14568,8356,9883,10,0.8833115250487862,2000,0.11668847495121382,0.6,0.02759889604415823
194,10311,13496,11235,11732,10,0.815330209548093,2000,0.184669790451907,0.0,0.0
195,7667,19108,11584,7789,11,0.7774769931481117,2000,0.2225230068518883,0.0,0.0
196,10573,20099,7920,6015,9,0.870247972097622,2000,0.12975202790237805,0.27,0.012419503219871205
197,11215,19443,7647,8392,10,0.8887942727920274,2000,0.11120572720797262,0.67,0.030818767249310028
198,9709,29886,6802,8867,10,0.8236147345547784,2000,0.1763852654452216,0.0,0.0
199,11660,17032,8998,8665,9,0.7718983004073351,2000,0.2281016995926649,0.0,0.0
200,10887,20790,10187,9727,9,0.8333123890952356,2000,0.16668761090476436,0.0,0.0
201,11782,25544,12688,12962,9,0.8439063803834298,2000,0.1560936196165702,0.01,0.0004599816007359705
202,11078,13516,10986,9681,10,0.8054860870817508,2000,0.19451391291824915,0.0,0.0
203,10036,21607,6815,9783,11,0.768286015596322,2000,0.23171398440367796,0.0,0.0
204,8438,10409,5905,9692,9,0.771238441319524,2000,0.22876155868047598,0.0,0.0
205,7895,25570,6497,11258,10,0.7477002422983429,2000,0.25229975770165713,0.0,0.0
206,8643,28962,6973,11289,11,0.779771407873786,2000,0.22022859212621404,0.0,0.0
207,10399,20546,8665,6454,10,0.7856534881374363,2000,0.2143465118625637,0.0,0.0
208,12677,18261,11522,5218,10,0.7596866264060075,2000,0.24031337359399252,0.0,0.0
209,8375,27110,11898,12159,12,0.7735782033754629,2000,0.2264217966245371,0.0,0.0
210,11573,19540,11067,7844,11,0.7915250079424326,2000,0.20847499205756737,0.0,0.0
